"Rank","Player","Team","Positions","FG%","FT%","3PM","REB","AST","STL","BLK","PTS","Overall"
"1","Kevin Durant","GSW","SF,PF","2.25","5.68","1.59","1.88","2.90","0.86","1.81","3.55","20.52"
"2","James Harden","HOU","PG,SG","-0.95","4.11","4.82","0.98","3.74","3.12","0.49","3.68","20.00"
"3","Anthony Davis","NOR","PF,C","2.15","1.47","0.32","3.48","1.53","2.41","5.16","3.00","19.52"
"4","Karl-Anthony Towns","MIN","C","1.41","1.71","1.52","3.68","1.01","1.04","4.04","2.52","16.93"
"5","Paul George","OKC","SG,SF","-0.37","2.05","3.48","1.93","1.48","3.96","0.69","3.10","16.32"
"6","Joel Embiid","PHI","PF,C","1.18","1.79","0.61","3.93","1.18","0.20","3.84","3.09","15.82"
"7","Damian Lillard","POR","PG","-0.46","4.38","3.27","0.78","2.73","1.16","0.49","3.26","15.62"
"8","Giannis Antetokounmpo","MIL","SF,PF","4.91","-2.67","-0.45","3.30","2.57","1.69","2.92","2.73","15.00"
"9","Nikola Jokic","DEN","PF,C","1.23","1.45","0.50","2.53","3.47","2.05","0.89","1.68","13.80"
"10","Nikola Vucevic","ORL","PF,C","2.94","0.27","0.61","3.27","1.26","1.22","2.07","2.08","13.71"
"11","Jrue Holiday","NOR","PG,SG","0.51","0.30","1.38","0.75","4.40","2.71","1.22","2.34","13.60"
"12","Stephen Curry","GSW","PG,SG","1.06","2.69","3.98","0.41","1.50","1.22","-0.03","2.32","13.14"
"13","Kyrie Irving","BOS","PG,SG","1.15","1.32","2.33","0.66","2.71","2.23","0.23","2.22","12.85"
"14","Bradley Beal","WAS","SG","0.44","0.61","2.40","0.90","2.10","1.81","1.35","2.81","12.42"
"15","Kemba Walker","CHA","PG","-0.86","1.55","3.41","0.56","2.65","1.81","0.43","2.86","12.40"
"16","Kawhi Leonard","TOR","SG,SF","1.56","2.61","0.96","1.44","0.57","1.99","0.30","2.44","11.86"
"17","DeAndre Ayton","PHO","C,PF","4.76","0.09","-0.87","3.23","0.53","0.74","1.61","1.73","11.82"
"18","DeMar DeRozan","SAS","SG,SF","0.85","2.50","-0.62","1.33","3.09","1.34","0.43","2.64","11.56"
"19","Rudy Gobert","UTH","C","4.51","-3.25","-0.87","3.68","0.33","1.04","4.57","1.38","11.39"
"20","LeBron James","LAL","SF,PF","2.57","-2.69","1.52","1.79","2.98","1.57","0.82","2.80","11.36"
"21","Tobias Harris","LAC","SF,PF","1.78","2.25","1.73","1.97","0.44","0.68","0.17","2.25","11.27"
"22","Marc Gasol","MEM","C","-0.57","0.10","1.20","2.21","1.84","1.99","2.79","1.47","11.04"
"23","Danilo Gallinari","LAC","SF,PF","0.02","4.36","2.19","1.29","0.58","0.50","-0.03","1.97","10.88"
"24","Clint Capela","HOU","PF,C","5.12","-2.94","-0.87","3.63","-0.03","0.26","3.91","1.62","10.71"
"25","LaMarcus Aldridge","SAS","PF,C","1.75","1.53","-0.80","2.40","0.57","0.20","2.14","2.18","9.96"
"26","Jusuf Nurkic","POR","C","1.11","-0.31","-0.76","3.00","0.94","1.63","2.66","1.37","9.65"
"27","Pascal Siakam","TOR","PF","3.01","0.49","0.11","1.51","0.86","1.34","0.89","1.35","9.57"
"28","Mike Conley","MEM","PG","-1.74","2.01","1.90","0.26","2.77","1.87","0.30","2.06","9.44"
